"#";"X48";"Y48";"X49";"Y49";"X50";"Y50";"X51";"Y51";"X52";"Y52";"X53";"Y53";"X54";"Y54";"X55";"Y55";"X56";"Y56";"X57";"Y57";"X58";"Y58";"X59";"Y59";"X60";"Y60";"X61";"Y61";"X62";"Y62";"X63";"Y63";"X64";"Y64";"X65";"Y65";"X66";"Y66";"X67";"Y67";"V"
"8";"0.4565";"0.6783";"0.5652";"0.6364";"0.6304";"0.6224";"0.6812";"0.6364";"0.7246";"0.6294";"0.7609";"0.6573";"0.7826";"0.7063";"0.7536";"0.7203";"0.7174";"0.7133";"0.6739";"0.7133";"0.6232";"0.7063";"0.5580";"0.7063";"0.4928";"0.6783";"0.6304";"0.6643";"0.6739";"0.6713";"0.7174";"0.6783";"0.7609";"0.6993";"0.7174";"0.6713";"0.6739";"0.6713";"0.6304";"0.6643"
"9";"0.4653";"0.6875";"0.5833";"0.6389";"0.6597";"0.6250";"0.7083";"0.6389";"0.7431";"0.6319";"0.7778";"0.6667";"0.7986";"0.7222";"0.7708";"0.7431";"0.7292";"0.7361";"0.6875";"0.7361";"0.6389";"0.7292";"0.5694";"0.7222";"0.5000";"0.6875";"0.6528";"0.6806";"0.7014";"0.6875";"0.7361";"0.6875";"0.7708";"0.7153";"0.7361";"0.6806";"0.6944";"0.6806";"0.6528";"0.6736"
"10";"0.4255";"0.6828";"0.5177";"0.6345";"0.5816";"0.6276";"0.6312";"0.6345";"0.6809";"0.6276";"0.7234";"0.6483";"0.7660";"0.7034";"0.7163";"0.7172";"0.6738";"0.7172";"0.6312";"0.7172";"0.5816";"0.7103";"0.5177";"0.7103";"0.4610";"0.6828";"0.5816";"0.6621";"0.6241";"0.6690";"0.6738";"0.6690";"0.7305";"0.6966";"0.6809";"0.6759";"0.6312";"0.6690";"0.5887";"0.6690"
"11";"0.4247";"0.6918";"0.5411";"0.6438";"0.6233";"0.6233";"0.6644";"0.6370";"0.7123";"0.6301";"0.7534";"0.6644";"0.7808";"0.7260";"0.7397";"0.7397";"0.6986";"0.7329";"0.6507";"0.7329";"0.6027";"0.7260";"0.5274";"0.7260";"0.4589";"0.6918";"0.6096";"0.6781";"0.6575";"0.6849";"0.7055";"0.6849";"0.7534";"0.7192";"0.6986";"0.6781";"0.6575";"0.6781";"0.6096";"0.6712"
"12";"0.3958";"0.6966";"0.5139";"0.6483";"0.5972";"0.6276";"0.6458";"0.6483";"0.6875";"0.6345";"0.7361";"0.6690";"0.7778";"0.7241";"0.7292";"0.7448";"0.6806";"0.7379";"0.6319";"0.7379";"0.5833";"0.7310";"0.5069";"0.7241";"0.4375";"0.6897";"0.5903";"0.6828";"0.6389";"0.6897";"0.6875";"0.6897";"0.7431";"0.7172";"0.6806";"0.6828";"0.6389";"0.6828";"0.5903";"0.6759"
"13";"0.3916";"0.6939";"0.4965";"0.6463";"0.5734";"0.6190";"0.6224";"0.6327";"0.6643";"0.6259";"0.7133";"0.6599";"0.7552";"0.7211";"0.7063";"0.7415";"0.6573";"0.7415";"0.6154";"0.7415";"0.5594";"0.7347";"0.4895";"0.7279";"0.4336";"0.6939";"0.5664";"0.6803";"0.6224";"0.6871";"0.6643";"0.6871";"0.7203";"0.7143";"0.6573";"0.6803";"0.6154";"0.6803";"0.5664";"0.6735"
"14";"0.3878";"0.6913";"0.4898";"0.6443";"0.5646";"0.6174";"0.6122";"0.6376";"0.6531";"0.6242";"0.7075";"0.6577";"0.7551";"0.7181";"0.7007";"0.7383";"0.6531";"0.7315";"0.6054";"0.7315";"0.5578";"0.7248";"0.4830";"0.7181";"0.4218";"0.6846";"0.5646";"0.6779";"0.6122";"0.6779";"0.6531";"0.6846";"0.7211";"0.7114";"0.6531";"0.6779";"0.6122";"0.6779";"0.5646";"0.6711"
"15";"0.3933";"0.6980";"0.4933";"0.6510";"0.5667";"0.6242";"0.6200";"0.6376";"0.6600";"0.6309";"0.7067";"0.6644";"0.7533";"0.7181";"0.7067";"0.7383";"0.6600";"0.7315";"0.6133";"0.7315";"0.5600";"0.7248";"0.4867";"0.7248";"0.4333";"0.6913";"0.5600";"0.6846";"0.6133";"0.6913";"0.6600";"0.6913";"0.7200";"0.7114";"0.6600";"0.6779";"0.6133";"0.6779";"0.5600";"0.6711"
"16";"0.3775";"0.6933";"0.4834";"0.6467";"0.5629";"0.6267";"0.6093";"0.6400";"0.6556";"0.6267";"0.7086";"0.6600";"0.7616";"0.7200";"0.7020";"0.7400";"0.6490";"0.7400";"0.6026";"0.7400";"0.5497";"0.7333";"0.4768";"0.7333";"0.4172";"0.6933";"0.5563";"0.6867";"0.6093";"0.6867";"0.6490";"0.6933";"0.7219";"0.7133";"0.6490";"0.6867";"0.6026";"0.6800";"0.5563";"0.6800"
"17";"0.3775";"0.7000";"0.4768";"0.6600";"0.5563";"0.6333";"0.6026";"0.6467";"0.6424";"0.6400";"0.6954";"0.6667";"0.7483";"0.7133";"0.6887";"0.7333";"0.6424";"0.7333";"0.5960";"0.7333";"0.5430";"0.7267";"0.4768";"0.7267";"0.4106";"0.6933";"0.5497";"0.6867";"0.6026";"0.6933";"0.6424";"0.6933";"0.7152";"0.7133";"0.6424";"0.6800";"0.5960";"0.6800";"0.5497";"0.6733"
